Rate;Log ;
0,2525;-0,5977;
0,2525;-0,5977;
0,2525;-0,5977;
0,2525;-0,5977;
0,2525;-0,5977;
0,2525;-0,5977;
0,2525;-0,5977;
0,2626;-0,5807;
0,2626;-0,5807;
0,2626;-0,5807;
0,2626;-0,5807;
0,2626;-0,5807;
0,2626;-0,5807;
0,2626;-0,5807;
0,2727;-0,5643;
0,2727;-0,5643;
0,2727;-0,5643;
0,2727;-0,5643;
0,2727;-0,5643;
0,2727;-0,5643;
0,2727;-0,5643;
0,2727;-0,5643;
0,2727;-0,5643;
0,2727;-0,5643;
0,2727;-0,5643;
0,2727;-0,5643;
0,2727;-0,5643;
0,2828;-0,5485;
0,2828;-0,5485;
0,2828;-0,5485;
0,2828;-0,5485;
0,2828;-0,5485;
0,2828;-0,5485;
0,2828;-0,5485;
0,2828;-0,5485;
0,2828;-0,5485;
0,2828;-0,5485;
0,2828;-0,5485;
0,2828;-0,5485;
0,2828;-0,5485;
0,2828;-0,5485;
0,2828;-0,5485;
0,2828;-0,5485;
0,2828;-0,5485;
0,2828;-0,5485;
0,2929;-0,5332;
0,2929;-0,5332;
0,2929;-0,5332;
0,2929;-0,5332;
0,2929;-0,5332;
0,2929;-0,5332;
0,2929;-0,5332;
0,2929;-0,5332;
0,2929;-0,5332;
0,2929;-0,5332;
0,2929;-0,5332;
0,2929;-0,5332;
0,2929;-0,5332;
0,2929;-0,5332;
0,2929;-0,5332;
0,2929;-0,5332;
0,3030;-0,5185;
0,3030;-0,5185;
0,3030;-0,5185;
0,3030;-0,5185;
0,3030;-0,5185;
0,3030;-0,5185;
0,3030;-0,5185;
0,3030;-0,5185;
0,3030;-0,5185;
0,3030;-0,5185;
0,3030;-0,5185;
0,3030;-0,5185;
0,3030;-0,5185;
0,3030;-0,5185;
0,3030;-0,5185;
0,3030;-0,5185;
0,3030;-0,5185;
0,3131;-0,5043;
0,3131;-0,5043;
0,3131;-0,5043;
0,3131;-0,5043;
0,3131;-0,5043;
0,3131;-0,5043;
0,3131;-0,5043;
0,3131;-0,5043;
0,3131;-0,5043;
0,3131;-0,5043;
0,3232;-0,4905;
0,3232;-0,4905;
0,3232;-0,4905;
0,3232;-0,4905;
0,3232;-0,4905;
0,3232;-0,4905;
0,3232;-0,4905;
0,3232;-0,4905;
0,3232;-0,4905;
0,3232;-0,4905;
0,3232;-0,4905;
0,3232;-0,4905;
0,3232;-0,4905;
0,3232;-0,4905;
0,3333;-0,4771;
0,3333;-0,4771;
0,3333;-0,4771;
0,3333;-0,4771;
0,3333;-0,4771;
0,3333;-0,4771;
0,3333;-0,4771;
0,3333;-0,4771;
0,3333;-0,4771;
0,3333;-0,4771;
0,3333;-0,4771;
0,3333;-0,4771;
0,3434;-0,4642;
0,3434;-0,4642;
0,3434;-0,4642;
0,3434;-0,4642;
0,3434;-0,4642;
0,3434;-0,4642;
0,3434;-0,4642;
0,3434;-0,4642;
0,3434;-0,4642;
0,3434;-0,4642;
0,3434;-0,4642;
0,3434;-0,4642;
0,3434;-0,4642;
0,3535;-0,4516;
0,3535;-0,4516;
0,3535;-0,4516;
0,3535;-0,4516;
0,3535;-0,4516;
0,3535;-0,4516;
0,3535;-0,4516;
0,3535;-0,4516;
0,3535;-0,4516;
0,3535;-0,4516;
0,3535;-0,4516;
0,3535;-0,4516;
0,3535;-0,4516;
0,3535;-0,4516;
0,3535;-0,4516;
0,3535;-0,4516;
0,3535;-0,4516;
0,3535;-0,4516;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3636;-0,4393;
0,3737;-0,4274;
0,3737;-0,4274;
0,3737;-0,4274;
0,3737;-0,4274;
0,3737;-0,4274;
0,3737;-0,4274;
0,3737;-0,4274;
0,3737;-0,4274;
0,3737;-0,4274;
0,3737;-0,4274;
0,3737;-0,4274;
0,3737;-0,4274;
0,3737;-0,4274;
0,3737;-0,4274;
0,3737;-0,4274;
0,3838;-0,4159;
0,3838;-0,4159;
0,3838;-0,4159;
0,3838;-0,4159;
0,3838;-0,4159;
0,3838;-0,4159;
0,3838;-0,4159;
0,3838;-0,4159;
0,3838;-0,4159;
0,3838;-0,4159;
0,3838;-0,4159;
0,3838;-0,4159;
0,3838;-0,4159;
0,3939;-0,4046;
0,3939;-0,4046;
0,3939;-0,4046;
0,3939;-0,4046;
0,3939;-0,4046;
0,3939;-0,4046;
0,3939;-0,4046;
0,3939;-0,4046;
0,3939;-0,4046;
0,3939;-0,4046;
0,3939;-0,4046;
0,3939;-0,4046;
0,3939;-0,4046;
0,3939;-0,4046;
0,4040;-0,3936;
0,4040;-0,3936;
0,4040;-0,3936;
0,4040;-0,3936;
0,4040;-0,3936;
0,4040;-0,3936;
0,4040;-0,3936;
0,4040;-0,3936;
0,4141;-0,3829;
0,4141;-0,3829;
0,4141;-0,3829;
0,4141;-0,3829;
0,4141;-0,3829;
0,4141;-0,3829;
0,4141;-0,3829;
0,4141;-0,3829;
0,4141;-0,3829;
0,4141;-0,3829;
0,4141;-0,3829;
0,4141;-0,3829;
0,4141;-0,3829;
0,4242;-0,3724;
0,4242;-0,3724;
0,4242;-0,3724;
0,4242;-0,3724;
0,4242;-0,3724;
0,4242;-0,3724;
0,4242;-0,3724;
0,4242;-0,3724;
0,4242;-0,3724;
0,4242;-0,3724;
0,4242;-0,3724;
0,4242;-0,3724;
0,4242;-0,3724;
0,4343;-0,3622;
0,4343;-0,3622;
0,4343;-0,3622;
0,4343;-0,3622;
0,4343;-0,3622;
0,4343;-0,3622;
0,4343;-0,3622;
0,4343;-0,3622;
0,4343;-0,3622;
0,4343;-0,3622;
0,4343;-0,3622;
0,4343;-0,3622;
0,4343;-0,3622;
0,4343;-0,3622;
