Attributes
ListingKey
CreditGrade
CurrentlyInGroup
GroupKey
DateCreditPulled
FirstRecordedCreditLine
OpenRevolvingAccounts
OpenRevolvingMonthlyPayment
TotalInquiries
PublicRecordsLast10Years
PublicRecordsLast12Months
TotalTrades
TradesNeverDelinquent (percentage)
TradesOpenedLast6Months
LoanKey
LoanCurrentDaysDelinquent
LoanFirstDefaultedCycleNumber
LoanMonthsSinceOrigination
LoanNumber
LoanOriginationQuarter
LP_CustomerPayments
LP_CustomerPrincipalPayments
LP_InterestandFees
LP_ServiceFees
LP_CollectionFees
LP_GrossPrincipalLoss
LP_NetPrincipalLoss
LP_NonPrincipalRecoverypayments
